id,name,slug,description,,,,,,,,,owner_id,category_id,custom_attributes,,,,,,,,,,,place_id,created_by,,,peekaboo_id
15,007 Restaurant - Beach Luxury Hotel,007-restaurant-beach-luxury-hotel,"007 for the best buffet in town serving a lavish choice of International and Pakistani cuisine, Beach Luxury style.",,,,,,,,,,,"{""peekaboo_slug"": ""007-restaurant---beach-luxury-hotel"", ""peekaboo_tags"": [{""tag"": ""Buffet"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/e72742be-caad-49e4-9154-1d8dccad5a3f-745.png"", ""tagId"": 268}], ""peekaboo_rating"": 4.5, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""00:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/007_bb3b3e7b-fb95-4269-8f31-fff8c1ce2567-553.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T11:51:30.646Z""}",,,,,,,,,,,,,,,3077
16,021 FryZo,021-fryzo,Our mission is to provide our valuable customer with good quality burgers and fries.,,,,,,,,,d9890755-60d7-4285-8ea3-f50edb9996af,1,"{""peekaboo_slug"": ""021-fryzo"", ""peekaboo_tags"": [{""tag"": ""Fast Food"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/c57dc1a8-c92e-4ea0-8683-29ce9fa9ff15-571.png"", ""tagId"": 1}], ""custom_category"": null, ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""12:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/021Fryzo_6904eaea-56b3-4112-81e0-575f38d6e353-94.jpeg"", ""peekaboo_last_sync"": ""2026-05-14T08:40:31.227Z""}",,,,,,,,,,,,,,,14182
17,0KM Tour Planner,0km-tour-planner,"0km is a Sustainable Tourism company that offers Adventure Tours, Women-Only tours, Wellness Retreats, Bucket List Tours and many other travel experiences.",,,,,,,,,,,"{""peekaboo_slug"": ""0km-tour-planner"", ""peekaboo_tags"": [], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:00:00-19:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logocopy2_8f451ac6-3704-4dcb-bb38-2451efff4daa-939.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T11:51:40.545Z""}",,,,,,,,,,,,,,,14102
18,1 Degree Centigrade,1-degree-centigrade,One Degree embarked on a revolutionizing mission of energizing people’s lives with astonishing soda.,,,,,,,,,,1,"{""peekaboo_slug"": ""1-degree-centigrade"", ""peekaboo_tags"": [], ""custom_category"": null, ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""12:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logocopy_6b18d342-84df-4062-8c44-21769a7ce4a8-458.jpeg"", ""peekaboo_last_sync"": ""2026-05-14T08:45:03.420Z""}",,,,,,,,,,,,,,,34529
19,10th Street Salon,10th-street-salon,Leadies Salon,,,,,,,,,,74,"{""peekaboo_slug"": ""10th-street-salon"", ""peekaboo_tags"": [{""tag"": ""Spa & Salons"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/8021348c-6e06-485c-a1d3-59f30b55a6a8-324.png"", ""tagId"": 201}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:30:00-20:30:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/0581ab1d-1471-4df4-9bff-fc98cf2cb9df-175.jpeg"", ""peekaboo_last_sync"": ""2026-05-14T08:44:59.879Z""}",,,,,,,,,,,,,,,12310
20,13th Street Pizza,13th-street-pizza," Best Pizza with premium ingredients and taste that you cant resist. We also offer pasta, sidelines, desserts and our special dips and sauces is a must try!",,,,,,,,,,,"{""peekaboo_slug"": ""13th-street-pizza"", ""peekaboo_tags"": [{""tag"": ""Pizza"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/fbd2fc21-6f6c-4a18-a7fa-3b0025385458-894.png"", ""tagId"": 139}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""18:30:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_4e21c94f-4402-4dcb-bc63-274005ae1b40-882.gif"", ""peekaboo_last_sync"": ""2026-05-14T08:45:00.506Z""}",,,,,,,,,,,,,,,28536
21,# Food,food,Restaurant in Karachi.,,,,,,,,,,,"{""peekaboo_slug"": ""--food"", ""peekaboo_tags"": [], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": null, ""peekaboo_last_sync"": ""2026-05-06T11:51:30.942Z""}",,,,,,,,,,,,,,,73678
22,1 Link Communication,1-link-communication,Communication Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""1-link-communication"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:00:00-22:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/1LinkCommunication_849890cb-3371-4ede-a9b4-478e0ecc25fe-957.jpeg"", ""peekaboo_last_sync"": ""2026-05-14T08:44:59.595Z""}",,,,,,,,,,,,,,,53241
23,0092 Store,0092-store,Online Shopping Store for Baby & kids Products.,,,,,,,,,,,"{""peekaboo_slug"": ""0092-store-"", ""peekaboo_tags"": [{""tag"": ""Kid's Wear"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/03bc1b63-e310-4e17-a6be-1285a7b6bb0b-415.png"", ""tagId"": 163}, {""tag"": ""Men's Wear"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/458d770d-e355-45f4-90ec-3ae7d9454dd1-784.png"", ""tagId"": 164}, {""tag"": ""Women's Wear"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/c7343a29-4515-49a2-bac4-e6dae75092c0-805.png"", ""tagId"": 165}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/2c268071-b590-4972-9ebb-3335a1e02101-382.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T11:51:31.070Z""}",,,,,,,,,,,,,,,11025
24,14 Star Medical Store,14-star-medical-store,Medical Store in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""14-star-medical-store"", ""peekaboo_tags"": [], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_ebd983b7-8978-484f-acea-8bb0a0601f66-281.jpeg"", ""peekaboo_last_sync"": ""2026-05-14T08:45:01.670Z""}",,,,,,,,,,,,,,,36559
